newton;uniforme n=100000;3D;0;1;0.349;3.380851e+00;1.363905e-03
newton;uniforme n=100000;3D;1;3;2.013;1.878367e+00;6.604117e-04
newton;uniforme n=100000;3D;2;5;3.788;1.029686e+00;3.340924e-04
newton;uniforme n=100000;3D;3;6;5.051;1.524484e-01;1.676015e-05
newton;uniforme n=100000;3D;4;7;6.368;5.651364e-03;1.793138e-07
newton;uniforme n=100000;3D;5;8;7.476;8.246068e-06;1.283531e-10
newton;uniforme n=100000;3D;6;9;8.633;1.660252e-11;2.092640e-16
lbfgs L0 taux 0.5;uniforme n=100000;3D;0;1;0.426;3.380851e+00;1.363905e-03
lbfgs L0 taux 0.5;uniforme n=100000;3D;1;3;2.239;1.878367e+00;6.604117e-04
lbfgs L0 taux 0.5;uniforme n=100000;3D;2;8;5.309;1.359397e+00;4.128740e-04
lbfgs L0 taux 0.5;uniforme n=100000;3D;3;9;6.731;6.950518e-01;1.118029e-04
lbfgs L0 taux 0.5;uniforme n=100000;3D;4;12;8.373;9.630789e-01;3.432842e-05
lbfgs L0 taux 0.5;uniforme n=100000;3D;5;13;9.124;1.091061e+00;1.372437e-05
lbfgs L0 taux 0.5;uniforme n=100000;3D;6;15;10.058;5.035376e-01;6.312574e-06
lbfgs L0 taux 0.5;uniforme n=100000;3D;7;17;10.932;3.183639e-02;1.512497e-06
lbfgs L0 taux 0.5;uniforme n=100000;3D;8;18;11.524;7.975804e-03;2.324455e-07
lbfgs L0 taux 0.5;uniforme n=100000;3D;9;19;12.115;5.111219e-03;7.797170e-08
lbfgs L0 taux 0.5;uniforme n=100000;3D;10;20;12.690;6.541081e-03;7.261153e-08
lbfgs L0 taux 0.5;uniforme n=100000;3D;11;21;13.741;1.083966e-05;1.176190e-10
lbfgs L0 taux 0.5;uniforme n=100000;3D;12;22;14.294;1.903038e-08;2.065121e-13
lbfgs L0;uniforme n=100000;3D;0;1;0.305;3.380851e+00;1.363905e-03
lbfgs L0;uniforme n=100000;3D;1;3;1.729;1.878367e+00;6.604117e-04
lbfgs L0;uniforme n=100000;3D;2;8;3.438;1.359397e+00;4.128740e-04
lbfgs L0;uniforme n=100000;3D;3;13;5.126;1.739686e+00;2.195594e-04
lbfgs L0;uniforme n=100000;3D;4;18;6.776;8.246381e-01;1.718191e-04
lbfgs L0;uniforme n=100000;3D;5;22;8.257;1.591951e+00;1.045469e-04
lbfgs L0;uniforme n=100000;3D;6;27;9.982;7.817303e-01;8.329308e-05
lbfgs L0;uniforme n=100000;3D;7;31;11.436;1.548483e+00;5.587031e-05
lbfgs L0;uniforme n=100000;3D;8;37;13.448;9.725693e-01;4.261288e-05
lbfgs L0;uniforme n=100000;3D;9;40;14.574;1.364314e+00;3.301796e-05
lbfgs L0;uniforme n=100000;3D;10;43;15.706;6.248249e-01;2.461600e-05
lbfgs L0;uniforme n=100000;3D;11;45;17.017;2.347108e-01;2.843203e-06
lbfgs L0;uniforme n=100000;3D;12;47;17.826;1.104569e-02;1.795126e-07
lbfgs L0;uniforme n=100000;3D;13;48;18.381;1.201993e-03;1.546699e-08
lbfgs L0;uniforme n=100000;3D;14;49;18.946;1.912018e-04;2.110236e-09
lbfgs L0;uniforme n=100000;3D;15;50;19.529;3.592426e-06;6.028651e-11
lbfgs L0;uniforme n=100000;3D;16;51;20.111;1.388208e-07;1.889586e-12
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;0;1;0.318;3.380851e+00;1.363905e-03
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;1;3;1.754;1.878367e+00;6.604117e-04
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;2;8;3.513;1.359397e+00;4.128740e-04
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;3;9;4.681;6.950518e-01;1.118029e-04
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;4;12;5.896;9.630789e-01;3.432842e-05
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;5;13;6.498;1.091061e+00;1.372437e-05
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;6;15;7.350;5.035376e-01;6.312574e-06
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;7;17;8.248;3.183639e-02;1.512497e-06
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;0;17;8.250;3.183639e-02;1.512497e-06
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;1;18;9.198;2.432107e-04;5.018176e-09
lbfgs L0 taux 0.5 +newton;uniforme n=100000;3D;2;19;10.093;1.463789e-08;1.914562e-13
cg L0 taux 0.5;uniforme n=100000;3D;0;1;0.336;3.380851e+00;1.363905e-03
cg L0 taux 0.5;uniforme n=100000;3D;1;5;2.258;1.878367e+00;6.604117e-04
cg L0 taux 0.5;uniforme n=100000;3D;2;10;3.886;1.359397e+00;4.128740e-04
cg L0 taux 0.5;uniforme n=100000;3D;3;14;6.868;1.477602e+00;2.980467e-05
cg L0 taux 0.5;uniforme n=100000;3D;4;20;11.616;9.701995e-01;1.513837e-05
cg L0 taux 0.5;uniforme n=100000;3D;5;23;14.830;4.287132e-01;7.653910e-06
cg L0 taux 0.5;uniforme n=100000;3D;6;26;17.614;2.462109e-02;3.540646e-07
