newton;densite sigma 0.02 s 0.0441971;2D;14;152;48.825;4.884398e-01;4.814967e-04
newton;densite sigma 0.02 s 0.0441971;2D;15;154;49.513;2.203396e+00;2.386674e-04
newton;densite sigma 0.02 s 0.0441971;2D;16;157;50.389;1.937021e+00;1.793864e-04
newton;densite sigma 0.02 s 0.0441971;2D;17;158;50.938;1.098518e+00;1.567086e-05
newton;densite sigma 0.02 s 0.0441971;2D;18;159;51.413;1.357699e-01;2.328685e-06
newton;densite sigma 0.02 s 0.0441971;2D;19;160;51.878;1.785573e-02;2.213706e-07
newton;densite sigma 0.02 s 0.0441971;2D;20;161;52.255;4.606902e-04;5.697127e-09
newton;densite sigma 0.02 s 0.0441971;2D;21;162;52.643;3.317819e-07;4.101871e-12
newton;densite sigma 0.02 s 0.0312524;2D;0;163;52.864;9.976307e-01;1.445802e-03
newton;densite sigma 0.02 s 0.0312524;2D;1;171;54.319;9.960888e-01;1.434457e-03
newton;densite sigma 0.02 s 0.0312524;2D;2;179;56.035;9.836760e-01;1.423205e-03
newton;densite sigma 0.02 s 0.0312524;2D;3;186;57.430;9.954611e-01;1.400791e-03
newton;densite sigma 0.02 s 0.0312524;2D;4;192;58.786;9.971034e-01;1.356381e-03
newton;densite sigma 0.02 s 0.0312524;2D;5;198;60.212;9.250062e-01;1.313462e-03
newton;densite sigma 0.02 s 0.0312524;2D;6;203;61.526;8.726411e-01;1.229544e-03
newton;densite sigma 0.02 s 0.0312524;2D;7;208;62.632;8.208948e-01;1.151338e-03
newton;densite sigma 0.02 s 0.0312524;2D;8;213;63.782;7.973930e-01;1.078323e-03
newton;densite sigma 0.02 s 0.0312524;2D;9;217;64.817;9.790425e-01;9.402421e-04
newton;densite sigma 0.02 s 0.0312524;2D;10;223;66.238;9.354533e-01;9.107275e-04
newton;densite sigma 0.02 s 0.0312524;2D;11;227;67.240;8.479947e-01;7.950087e-04
newton;densite sigma 0.02 s 0.0312524;2D;12;230;68.039;8.190577e-01;5.913866e-04
newton;densite sigma 0.02 s 0.0312524;2D;13;233;68.813;5.289401e-01;4.414655e-04
newton;densite sigma 0.02 s 0.0312524;2D;14;236;69.585;8.390769e-01;3.303019e-04
