alpha,exact_22524,poly_22524,exact_54688,poly_54688,exact_57911,poly_57911,exact_31239,poly_31239,exact_97108,poly_97108,exact_34644,poly_34644,exact_26805,poly_26805,exact_54954,poly_54954
6.3095734448e-03,0.0000000000e+00,-1.6582721748e-07,0.0000000000e+00,-5.4355005738e-08,0.0000000000e+00,-8.0534534435e-08,0.0000000000e+00,-4.2116826096e-08,0.0000000000e+00,-4.9843181635e-08,0.0000000000e+00,-4.8013258216e-08,0.0000000000e+00,-3.1295516536e-08,0.0000000000e+00,-1.3499728523e-08
7.9432823472e-03,0.0000000000e+00,-3.4840841109e-07,0.0000000000e+00,-1.1839355522e-07,0.0000000000e+00,-1.7648774280e-07,0.0000000000e+00,-9.7097625221e-08,0.0000000000e+00,-1.2197267486e-07,0.0000000000e+00,-1.1992624700e-07,0.0000000000e+00,-8.1215836946e-08,0.0000000000e+00,-5.0246836916e-08
1.0000000000e-02,0.0000000000e+00,-6.4304605538e-07,0.0000000000e+00,-2.2520250946e-07,0.0000000000e+00,-3.3386285306e-07,0.0000000000e+00,-1.8955274835e-07,0.0000000000e+00,-2.4159510690e-07,0.0000000000e+00,-2.3920476249e-07,0.0000000000e+00,-1.6564948249e-07,0.0000000000e+00,-1.1380487440e-07
1.2589254118e-02,0.0000000000e+00,-1.1166446947e-06,0.0000000000e+00,-4.0117409616e-07,0.0000000000e+00,-5.8995729881e-07,0.0000000000e+00,-3.4277723102e-07,0.0000000000e+00,-4.3786234498e-07,0.0000000000e+00,-4.3492594747e-07,0.0000000000e+00,-3.0615932045e-07,0.0000000000e+00,-2.2123228329e-07
1.5848931925e-02,0.0000000000e+00,-1.8755939279e-06,0.0000000000e+00,-6.8849348692e-07,0.0000000000e+00,-1.0042388212e-06,0.0000000000e+00,-5.9404764246e-07,0.0000000000e+00,-7.5733263737e-07,0.0000000000e+00,-7.5352956762e-07,0.0000000000e+00,-5.3727654065e-07,0.0000000000e+00,-3.9992139029e-07
1.9952623150e-02,0.0000000000e+00,-3.0889543595e-06,0.0000000000e+00,-1.1544682403e-06,0.0000000000e+00,-1.6714047255e-06,0.0000000000e+00,-1.0028920772e-06,0.0000000000e+00,-1.2742435746e-06,0.0000000000e+00,-1.2690653653e-06,0.0000000000e+00,-9.1417800666e-07,0.0000000000e+00,-6.9373493660e-07
2.5118864315e-02,0.0000000000e+00,-5.0252285247e-06,0.0000000000e+00,-1.9063383603e-06,0.0000000000e+00,-2.7421032266e-06,0.0000000000e+00,-1.6642211042e-06,0.0000000000e+00,-2.1068174794e-06,0.0000000000e+00,-2.0994578614e-06,0.0000000000e+00,-1.5248779279e-06,0.0000000000e+00,-1.1727557245e-06
3.1622776602e-02,0.0000000000e+00,-8.1106686748e-06,0.0000000000e+00,-3.1147787304e-06,0.0000000000e+00,-4.4558045571e-06,0.0000000000e+00,-2.7291690013e-06,0.0000000000e+00,-3.4431337261e-06,0.0000000000e+00,-3.4323143412e-06,0.0000000000e+00,-2.5095804338e-06,0.0000000000e+00,-1.9487688563e-06
3.9810717055e-02,0.0000000000e+00,-1.3021725903e-05,0.0000000000e+00,-5.0511858209e-06,0.0000000000e+00,-7.1929359128e-06,0.0000000000e+00,-4.4381627583e-06,0.0000000000e+00,-5.5821713931e-06,0.0000000000e+00,-5.5658655413e-06,0.0000000000e+00,-4.0913892013e-06,0.0000000000e+00,-3.1998373116e-06
5.0118723363e-02,0.0000000000e+00,-2.0831619358e-05,0.0000000000e+00,-8.1468207998e-06,0.0000000000e+00,-1.1557557301e-05,0.0000000000e+00,-7.1733805926e-06,0.0000000000e+00,-8.9989050574e-06,0.0000000000e+00,-8.9738998321e-06,0.0000000000e+00,-6.6250266011e-06,0.0000000000e+00,-5.2092993022e-06
