alpha,exact_93705,poly_93705,exact_37913,poly_37913,exact_99951,poly_99951,exact_24005,poly_24005,exact_55566,poly_55566,exact_77383,poly_77383,exact_90645,poly_90645
1.0000000000e-02,5.0739744606e-05,5.0739744606e-05,4.7037947173e-05,4.7020530877e-05,4.0744640285e-06,4.0730434511e-06,4.4051329270e-06,4.4051329270e-06,3.0023734082e-06,3.0030906726e-06,4.5432781902e-04,4.5432781902e-04,3.7918619219e-06,3.8092782183e-06
1.2589254118e-02,5.0572238681e-05,5.0572238681e-05,4.6904928834e-05,4.6868114822e-05,4.0861287901e-06,4.0834106361e-06,4.4174177123e-06,4.4174177123e-06,3.0180618662e-06,3.0194342905e-06,4.5308038600e-04,4.5308038600e-04,3.7887655664e-06,3.8255795785e-06
1.5848931925e-02,5.0341580346e-05,5.0341580346e-05,4.6729631349e-05,4.6658193764e-05,4.0997411289e-06,4.0947960069e-06,4.4321213510e-06,4.4321213510e-06,3.0368780375e-06,3.0393748812e-06,4.5148226843e-04,4.5148226843e-04,3.7746999174e-06,3.8461375030e-06
1.9952623150e-02,5.0019848142e-05,5.0019848142e-05,4.6496523580e-05,4.6365326363e-05,4.1151778924e-06,4.1064886827e-06,4.4494244629e-06,4.4494244629e-06,3.0590852263e-06,3.0634724991e-06,4.4942646806e-04,4.4942646806e-04,3.7408778048e-06,3.8720750214e-06
2.5118864315e-02,4.9565123997e-05,4.9565123997e-05,4.6183371834e-05,4.5951312178e-05,4.1319170605e-06,4.1170237303e-06,4.4692937584e-06,4.4692937584e-06,3.0846952458e-06,3.0922150438e-06,4.4676880848e-04,4.4676880848e-04,3.6727585108e-06,3.9048181668e-06
3.1622776602e-02,4.8913911157e-05,4.8913911157e-05,4.5757936221e-05,4.5358278224e-05,4.1487198261e-06,4.1236535392e-06,4.4912741835e-06,4.4912741835e-06,3.1132367690e-06,3.1258725586e-06,4.4331276772e-04,4.4331276772e-04,3.5465235821e-06,3.9461815799e-06
3.9810717055e-02,4.7969273917e-05,4.7969273917e-05,4.5172894388e-05,4.4497864132e-05,4.1631048120e-06,4.1214873298e-06,4.5141380687e-06,4.5141380687e-06,3.1446465328e-06,3.1642395088e-06,4.3878714273e-04,4.3878714273e-04,3.3234502035e-06,3.9984804595e-06
5.0118723363e-02,4.6582237398e-05,4.6582237398e-05,4.4357997183e-05,4.3234260832e-05,4.1704871776e-06,4.1020988152e-06,4.5353020970e-06,4.5353020970e-06,3.1779724790e-06,3.2061925848e-06,4.3281279407e-04,4.3281279407e-04,2.9409417756e-06,4.0646781268e-06
6.3095734448e-02,4.4522556227e-05,4.4522556227e-05,4.3207889274e-05,4.1357554070e-05,4.1627794659e-06,4.0512835528e-06,4.5496474238e-06,4.5498693060e-06,3.2100747067e-06,3.2489473930e-06,4.2485263919e-04,4.2485263919e-04,2.2982470976e-06,4.1485823011e-06
7.9432823472e-02,4.1471818285e-05,4.1432698289e-05,4.1563124689e-05,3.8541760514e-05,4.1261303763e-06,3.9454593366e-06,4.5469386750e-06,4.5490680176e-06,3.2348736147e-06,3.2868269205e-06,4.1418365772e-04,4.1413579538e-04,1.2337446670e-06,4.2551088421e-06
1.0000000000e-01,3.7022608481e-05,3.6755307024e-05,3.9189949625e-05,3.4278676689e-05,4.0372859199e-06,3.7459042399e-06,4.5101821007e-06,4.5177238957e-06,3.2413448454e-06,3.3092423676e-06,3.9986866931e-04,3.9954163265e-04,0.0000000000e+00,4.3906401641e-06
1.2589254118e-01,3.0462491392e-05,2.9618731826e-05,3.5795393801e-05,2.7773486368e-05,3.8577529493e-06,3.3895528140e-06,4.4224117900e-06,4.4301856794e-06,3.2102675249e-06,3.2974082398e-06,3.8045445133e-04,3.7942139575e-04,0.0000000000e+00,4.5635182663e-06
1.5848931925e-01,2.0673794279e-05,1.8656229031e-05,3.0892317849e-05,1.7779875608e-05,3.5244617433e-06,2.7743187636e-06,4.2685493279e-06,4.2437826164e-06,3.1089774603e-06,3.2190294298e-06,3.5380609396e-04,3.5132227462e-04,0.0000000000e+00,4.7847316903e-06
1.9952623150e-01,5.9216254240e-06,1.7201991838e-06,2.3711947216e-05,2.3394205049e-06,2.9642822449e-06,1.7357192959e-06,4.0062603588e-06,3.8883478222e-06,2.8829342963e-06,3.0197465011e-06,3.1675945703e-04,3.1155862167e-04,0.0000000000e+00,5.0688853787e-06
2.5118864315e-01,0.0000000000e+00,-2.4569728873e-05,1.4113397425e-05,-2.1630558035e-05,2.0153169077e-06,9.6841231595e-09,3.5684045902e-06,3.2494787485e-06,2.4422087899e-06,2.6094082869e-06,2.6457600491e-04,2.5454312311e-04,0.0000000000e+00,5.4355881157e-06
3.1622776602e-01,0.0000000000e+00,-6.5541693268e-05,3.4426911687e-06,-5.8989070758e-05,4.0574387747e-07,-2.8265684345e-06,2.8598662131e-06,2.1418366416e-06,1.6866276193e-06,1.8401025569e-06,1.9094857439e-04,1.7174030579e-04,0.0000000000e+00,5.9114630352e-06
3.9810717055e-01,0.0000000000e+00,-1.2960322515e-04,0.0000000000e+00,-1.1740350939e-04,0.0000000000e+00,-7.4484632900e-06,1.9868189924e-06,2.6661479816e-07,0.0000000000e+00,4.7106898463e-07,9.7361615470e-05,5.0024989077e-05,0.0000000000e+00,6.5330968327e-06
5.0118723363e-01,0.0000000000e+00,-2.3003278480e-04,0.0000000000e+00,-2.0898354417e-04,0.0000000000e+00,-1.4933226023e-05,1.0955123324e-06,-2.8561394131e-06,0.0000000000e+00,-1.8872474261e-06,5.2510155789e-06,-1.3089795205e-04,0.0000000000e+00,7.3514152975e-06
6.3095734448e-01,0.0000000000e+00,-3.8781667457e-04,0.0000000000e+00,-3.5286842277e-04,0.0000000000e+00,-2.6996640902e-05,2.4726797969e-07,-7.9951264593e-06,0.0000000000e+00,-5.8622904150e-06,0.0000000000e+00,-4.0255599337e-04,0.0000000000e+00,8.4382420821e-06
7.9432823472e-01,0.0000000000e+00,-6.3614212004e-04,0.0000000000e+00,-5.7932472524e-04,0.0000000000e+00,-4.6368739549e-05,0.0000000000e+00,-1.6378759631e-05,0.0000000000e+00,-1.2461131759e-05,0.0000000000e+00,-8.1411345892e-04,0.0000000000e+00,9.8962203174e-06
1.0000000000e+00,0.0000000000e+00,-1.0275143926e-03,0.0000000000e+00,-9.3623729525e-04,0.0000000000e+00,-7.7389796986e-05,0.0000000000e+00,-2.9966664427e-05,0.0000000000e+00,-2.3295786062e-05,0.0000000000e+00,-1.4424791838e-03,0.0000000000e+00,1.1873941421e-05
