alpha,vides_exact,vides_poly,accord,min_exact,min_poly,err_max,f_1e8,f_1e4,f_1e2,hors_comb,hors_comb_1e4,res_exact,res_poly,borne
3.9810717055e-03,0,0,0,5.0846658169e-09,5.0846658158e-09,3.1241977574e-03,0.910650,0.997990,1.000000,4750,0.978526,9.9602106409e-01,9.9602106413e-01,9.9800946415e-01
5.0118723363e-03,7,7,6,0.0000000000e+00,-5.3265501059e-08,5.2840579443e-03,0.887470,0.995610,1.000000,5936,0.961422,9.9499151281e-01,9.9499151251e-01,9.9749406383e-01
6.3095734448e-03,13,15,13,0.0000000000e+00,-1.6582721748e-07,1.6478035522e-02,0.860920,0.989960,0.999990,7347,0.929767,9.9369579230e-01,9.9369579013e-01,9.9684521328e-01
7.9432823472e-03,35,34,31,0.0000000000e+00,-3.4840841109e-07,3.4674487774e-02,0.829510,0.977150,0.999930,9037,0.868762,9.9206522334e-01,9.9206521585e-01,9.9602835883e-01
1.0000000000e-02,68,64,59,0.0000000000e+00,-6.4304605538e-07,6.4086975602e-02,0.791080,0.954680,0.999780,11171,0.783368,9.9001348373e-01,9.9001346217e-01,9.9500000000e-01
1.2589254118e-02,130,123,111,0.0000000000e+00,-1.1166446947e-06,9.8457361275e-02,0.744820,0.921200,0.999340,13801,0.690675,9.8743212172e-01,9.8743206691e-01,9.9370537294e-01
1.5848931925e-02,222,198,187,0.0000000000e+00,-1.8755939279e-06,1.5189203520e-01,0.695510,0.874320,0.998600,16679,0.582109,9.8418495574e-01,9.8418482873e-01,9.9207553404e-01
1.9952623150e-02,351,282,268,0.0000000000e+00,-3.0889543595e-06,2.4369377062e-01,0.639990,0.814770,0.997120,20064,0.479765,9.8010110089e-01,9.8010083251e-01,9.9002368843e-01
2.5118864315e-02,495,375,354,0.0000000000e+00,-5.0252285247e-06,4.5092523030e-01,0.578250,0.743780,0.994960,23991,0.388687,9.7496631012e-01,9.7496578042e-01,9.8744056784e-01
3.1622776602e-02,649,460,429,0.0000000000e+00,-8.1106686748e-06,7.9077959238e-01,0.511620,0.664810,0.992060,28473,0.307309,9.6851226665e-01,9.6851129681e-01,9.8418861170e-01
3.9810717055e-02,813,570,514,0.0000000000e+00,-1.3021725903e-05,1.2428657927e+00,0.446470,0.578990,0.985400,33111,0.233125,9.6040340833e-01,9.6040174044e-01,9.8009464147e-01
5.0118723363e-02,958,674,595,0.0000000000e+00,-2.0831619358e-05,1.9567057208e+00,0.379360,0.490040,0.967850,38115,0.171035,9.5022084158e-01,9.5021816448e-01,9.7494063832e-01
6.3095734448e-02,1140,799,681,0.0000000000e+00,-3.3242692249e-05,3.0847064306e+00,0.314240,0.405340,0.925920,43428,0.128696,9.3744284654e-01,9.3743899272e-01,9.6845213278e-01
7.9432823472e-02,1301,972,777,0.0000000000e+00,-5.2954746140e-05,4.8682379270e+00,0.255240,0.326720,0.848840,48602,0.094502,9.2142092948e-01,9.2141720793e-01,9.6028358826e-01
1.0000000000e-01,1469,1263,873,0.0000000000e+00,-8.4248905696e-05,7.6896206701e+00,0.202700,0.256220,0.740060,53475,0.069939,9.0135199140e-01,9.0135447849e-01,9.5000000000e-01
1.2589254118e-01,1716,2108,1073,0.0000000000e+00,-1.3391310057e-04,1.2154508223e+01,0.159140,0.197010,0.614400,58085,0.053646,8.7622510771e-01,8.7627369179e-01,9.3705372941e-01
1.5848931925e-01,2239,4089,1455,0.0000000000e+00,-2.1270900466e-04,1.9222439847e+01,0.124320,0.151550,0.488200,62275,0.046263,8.4475147593e-01,8.4499481369e-01,9.2075534038e-01
1.9952623150e-01,3441,7674,2436,0.0000000000e+00,-3.3769716625e-04,3.0413733420e+01,0.105170,0.123040,0.378280,65938,0.051943,8.0543706905e-01,8.0612973344e-01,9.0023688425e-01
2.5118864315e-01,5993,12279,4426,0.0000000000e+00,-5.3592232745e-04,4.8137364672e+01,0.102330,0.115040,0.300260,69091,0.074525,7.5650206847e-01,7.5814257596e-01,8.7440567842e-01
3.1622776602e-01,10280,17200,7690,0.0000000000e+00,-8.5025456008e-04,7.6210590642e+01,0.118380,0.126360,0.256990,71754,0.113583,6.9584738743e-01,6.9960794570e-01,8.4188611699e-01
3.9810717055e-01,16263,22289,11830,0.0000000000e+00,-1.3486472171e-03,1.2068245941e+02,0.147130,0.153070,0.242870,74053,0.164787,6.2114034416e-01,6.3007522247e-01,8.0094641472e-01
5.0118723363e-01,23672,27011,16681,0.0000000000e+00,-2.1388102693e-03,1.9113893736e+02,0.185650,0.189840,0.252380,75919,0.223422,5.3053304945e-01,5.5290425075e-01,7.4940638319e-01
6.3095734448e-01,32113,31204,21686,0.0000000000e+00,-3.3914665709e-03,3.0277133629e+02,0.228260,0.231300,0.272850,77482,0.282620,4.2334843435e-01,4.8428938855e-01,6.8452132776e-01
7.9432823472e-01,41031,35046,26598,0.0000000000e+00,-5.3772113053e-03,4.7965447391e+02,0.272740,0.274360,0.300500,78742,0.339311,3.0293866376e-01,4.7482312360e-01,6.0283588264e-01
1.0000000000e+00,50030,38408,31079,0.0000000000e+00,-8.5249312122e-03,7.5994211275e+02,0.314300,0.315500,0.331190,79779,0.390780,1.8931325176e-01,6.1007752644e-01,5.0000000000e-01
