alpha,vides_exact,vides_poly,accord,min_exact,min_poly,err_max,f_1e8,f_1e4,f_1e2,hors_comb,hors_comb_1e4,res_exact,res_poly,borne
1.0000000000e-04,0,0,0,1.8921299854e-09,1.8921299853e-09,2.1721480983e-07,0.999510,1.000000,1.000000,94,1.000000,9.9990000135e-01,9.9990000135e-01,9.9995000000e-01
1.2589254118e-04,0,0,0,2.1826921517e-09,2.1826921518e-09,3.6782308498e-07,0.999240,1.000000,1.000000,130,1.000000,9.9987410959e-01,9.9987410959e-01,9.9993705373e-01
1.5848931925e-04,0,0,0,2.5588078830e-09,2.5588078831e-09,6.1350231210e-07,0.998810,1.000000,1.000000,160,1.000000,9.9984151407e-01,9.9984151407e-01,9.9992075534e-01
1.9952623150e-04,0,0,0,3.0486650561e-09,3.0486650562e-09,1.0116664810e-06,0.997840,1.000000,1.000000,206,1.000000,9.9980047913e-01,9.9980047913e-01,9.9990023688e-01
2.5118864315e-04,0,0,0,3.6912804539e-09,3.6912804538e-09,1.6537786370e-06,0.997100,1.000000,1.000000,272,1.000000,9.9974881986e-01,9.9974881986e-01,9.9987440568e-01
3.1622776602e-04,0,0,0,4.5413685201e-09,4.5413685195e-09,2.6853871783e-06,0.995950,1.000000,1.000000,336,1.000000,9.9968378571e-01,9.9968378571e-01,9.9984188612e-01
3.9810717055e-04,0,0,0,5.5867912785e-09,5.5867912785e-09,4.3379125426e-06,0.994420,1.000000,1.000000,433,1.000000,9.9960191419e-01,9.9960191419e-01,9.9980094641e-01
5.0118723363e-04,0,0,0,6.8587641206e-09,6.8587641196e-09,6.9790652692e-06,0.991860,1.000000,1.000000,563,1.000000,9.9949884662e-01,9.9949884662e-01,9.9974940638e-01
6.3095734448e-04,0,0,0,8.4907709953e-09,8.4907709952e-09,1.5701610334e-05,0.988830,1.000000,1.000000,715,1.000000,9.9936909630e-01,9.9936909630e-01,9.9968452133e-01
7.9432823472e-04,0,0,0,1.0626123404e-08,1.0626123404e-08,4.2185406374e-05,0.985220,1.000000,1.000000,906,1.000000,9.9920575679e-01,9.9920575679e-01,9.9960283588e-01
1.0000000000e-03,0,0,0,1.3161774473e-08,1.3161774475e-08,9.3765572762e-05,0.980180,1.000000,1.000000,1177,1.000000,9.9900013476e-01,9.9900013476e-01,9.9950000000e-01
1.2589254118e-03,0,0,0,1.6510211924e-08,1.6510211932e-08,1.8760808932e-04,0.973920,0.999980,1.000000,1501,0.999334,9.9874128817e-01,9.9874128816e-01,9.9937053729e-01
1.5848931925e-03,0,0,0,2.0973271649e-08,2.0973271639e-08,3.5156322162e-04,0.965420,0.999950,1.000000,1894,0.998944,9.9841544531e-01,9.9841544530e-01,9.9920755340e-01
1.9952623150e-03,0,0,0,2.5064864541e-08,2.4510137481e-08,6.3058144028e-04,0.956240,0.999820,1.000000,2383,0.995804,9.9800527417e-01,9.9800527417e-01,9.9900236884e-01
2.5118864315e-03,0,0,0,2.3336969950e-08,2.2538662367e-08,1.0969251446e-03,0.944310,0.999560,1.000000,2986,0.992967,9.9748896385e-01,9.9748896384e-01,9.9874405678e-01
3.1622776602e-03,0,0,0,1.7094357396e-08,1.7094357396e-08,1.8664075100e-03,0.929130,0.999100,1.000000,3791,0.987075,9.9683906994e-01,9.9683906994e-01,9.9841886117e-01
