alpha,vides_exact,vides_poly,accord,min_exact,min_poly,err_max,f_1e8,f_1e4,f_1e2,hors_comb,hors_comb_1e4,res_exact,res_poly,borne
1.2589254118e-01,1,0,0,0.0000000000e+00,3.1605203090e-06,9.2392316135e-01,0.604250,0.709120,0.999120,22338,0.250067,8.7615593673e-01,8.7612761886e-01,9.3705372941e-01
1.5848931925e-01,2,0,0,0.0000000000e+00,2.7743187636e-06,1.7102968847e+00,0.537410,0.632300,0.994780,26797,0.189051,8.4476738460e-01,8.4471343667e-01,9.2075534038e-01
1.9952623150e-01,4,0,0,0.0000000000e+00,1.7201991838e-06,3.0417891186e+00,0.466900,0.550710,0.976360,31792,0.142772,8.0565017264e-01,8.0555252138e-01,9.0023688425e-01
2.5118864315e-01,12,2,1,0.0000000000e+00,-2.4569728873e-05,5.2572689217e+00,0.398470,0.467730,0.930000,36980,0.102326,7.5704191255e-01,7.5686747660e-01,8.7440567842e-01
3.1622776602e-01,24,3,1,0.0000000000e+00,-6.5541693268e-05,8.8999797364e+00,0.327940,0.384010,0.846260,42793,0.070829,6.9687450732e-01,6.9655879197e-01,8.4188611699e-01
3.9810717055e-01,50,3,3,0.0000000000e+00,-1.2960322515e-04,1.4842407939e+01,0.263630,0.306930,0.731340,48578,0.047264,6.2278145439e-01,6.2221157613e-01,8.0094641472e-01
5.0118723363e-01,95,10,6,0.0000000000e+00,-2.3003278480e-04,2.4476685302e+01,0.204750,0.236750,0.603990,54476,0.030858,5.3221808874e-01,5.3117263780e-01,7.4940638319e-01
6.3095734448e-01,169,27,16,0.0000000000e+00,-4.0255599337e-04,3.9987269960e+01,0.154910,0.177990,0.472030,60282,0.020670,4.2302232734e-01,4.2081771149e-01,6.8452132776e-01
7.9432823472e-01,292,110,30,0.0000000000e+00,-8.1411345892e-04,6.4548999640e+01,0.114230,0.129430,0.350160,65738,0.012732,2.9457604617e-01,2.8964547205e-01,6.0283588264e-01
1.0000000000e+00,770,653,108,0.0000000000e+00,-1.4424791838e-03,1.0309036291e+02,0.082630,0.092670,0.246940,70537,0.008946,1.5273508590e-01,1.4359664584e-01,5.0000000000e-01
